id,Bus_name,Bus_Type,Departure_Time,Arrival_Time,Duration,Fare,Rating,Seat_Availability,Bus_Link,Bus_Route
267,Sri Tulasi Tours and Travels,A/C Sleeper (2+1),5:00,7:30,02h 30m,990,3.4,3 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
268,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),5:15,9:00,03h 45m,890,2.7,3 Seats available,https://www.redbus.in/bus-tickets/hyderabad-to-warangal,Hyderabad to Warangal
269,Sri Vengamamba Bus Transport (SVBT),A/C Seater / Sleeper (2+1),21:45,6:15,08h 30m,690,4.5,,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
270,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),21:40,6:15,08h 35m,983,4.4,,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
271,V Kaveri Travels,Scania AC Multi Axle Sleeper (2+1),21:30,5:45,08h 15m,1100,4,,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
272,Chandu Travels,A/C Sleeper (2+1),22:15,5:45,07h 30m,741,4,,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
273,Kamakshi Tours And Travels,Non A/C Seater / Sleeper (2+1),21:30,6:00,08h 30m,500,3.9,,https://www.redbus.in/bus-tickets/hyderabad-to-ongole,Hyderabad to Ongole
274,Svkdt travels,A/C Sleeper (2+1),22:30,6:55,08h 25m,531,4.6,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
275,IntrCity SmartBus,AC Sleeper (2+1),23:10,6:45,07h 35m,662,4.6,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
276,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:30,6:45,07h 15m,444,4.5,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
277,AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:50,7:25,07h 35m,540,4.6,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
278,IntrCity SmartBus,AC Sleeper (2+1),23:30,6:50,07h 20m,736,4.6,,https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Hyderabad to Guntur (Andhra Pradesh)
279,KNR TRAVELS,Non A/C Seater / Sleeper (2+1),21:45,5:55,08h 10m,600,4.6,,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad
280,Sri Vinayaka Travels,NON A/C Seater/ Sleeper (2+1),21:35,5:58,08h 23m,550,4.5,,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad
281,Zingbus Plus,A/C Sleeper (2+1),22:30,7:25,08h 55m,905,4.5,,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad
282,CMR Express,NON A/C Sleeper (2+1),21:50,6:02,08h 12m,900,4.4,,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad
283,MMR TRAVELS,Non A/C Seater / Sleeper (2+1),22:45,6:20,07h 35m,600,4.6,,https://www.redbus.in/bus-tickets/kadapa-to-hyderabad,Kadapa to Hyderabad
284,IntrCity SmartBus,AC Sleeper (2+1),21:30,7:20,09h 50m,1607,4.7,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
285,Ramana Tours And Travels,A/C Sleeper (2+1),20:15,8:35,12h 20m,990,4.5,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
286,Zingbus Plus,A/C Sleeper (2+1),20:50,7:05,10h 15m,1053,4.3,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
287,AdSrivastav Travels,Bharat Benz A/C Sleeper (2+1),20:00,7:00,11h 00m,1199,3.9,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
288,IntrCity SmartBus,AC Sleeper (2+1),20:20,6:45,10h 25m,1218,4.2,,https://www.redbus.in/bus-tickets/hyderabad-to-tirupathi,Hyderabad to Tirupati
289,Pammi Travels,Non A/C Seater / Sleeper (2+1),2:00,6:00,04h 00m,618,3.7,23 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
290,Royal Cruiser,Volvo A/C Seater (2+2),2:00,6:00,04h 00m,463,3.9,13 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
291,Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),6:10,9:20,03h 10m,486,4.5,25 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
292,Greenline,Volvo A/C Seater (2+2),6:30,9:45,03h 15m,486,4.2,17 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
293,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),6:40,10:00,03h 20m,486,4.5,19 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata
294,Santosh Bus Service,A/C Seater Push Back (2+3),11:25,16:30,05h 05m,315,4.1,1 Seat available,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
295,Snemita Parisheba(Santosh),AC Seater (2+3),11:30,16:20,04h 50m,352,3.5,4 Seats available,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
296,City Express,AC Seater (2+3),11:35,16:56,05h 21m,370,4.2,8 Seats available,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
297,Snemita Paribahan,AC Seater (2+3),11:35,17:10,05h 35m,370,3.6,2 Seats available,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
298,Satya Paribahan,A/C Executive (2+3),11:50,17:30,05h 40m,352,3.1,9 Seats available,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal)
299,Aradhana Travels,Non AC Seater (2+3),1:00,7:00,06h 00m,475,3.6,6 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
300,Aradhana Travels,A/C Seater / Sleeper (2+2),2:30,8:00,05h 30m,475,3.6,6 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
301,Satya Paribahan,A/C Executive (2+3),3:30,9:30,06h 00m,389,3.7,3 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
302,Rudraksha City Service,A/C Seater (2+3),7:00,12:20,05h 20m,450,3.5,29 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
303,Vishwakarma Travels,AC Seater (2+3),7:10,12:00,04h 50m,380,3.8,5 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha,Barasat (West Bengal) to Digha
304,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),8:30,12:55,04h 25m,699,4.6,8 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
305,Greenline,Volvo A/C Seater (2+2),6:30,11:40,05h 10m,800,4.6,5 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
306,Shyamoli Paribahan Pvt Ltd,VE A/C Seater (2+2),23:30,4:30,05h 00m,550,4.4,,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
307,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),8:15,12:45,04h 30m,650,4.4,5 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
308,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),23:45,4:45,05h 00m,550,4.5,,https://www.redbus.in/bus-tickets/kolkata-to-digha,Kolkata to Digha
309,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|06:10,Volvo AC Seater (2+2),6:10,9:25,03h 15m,375,3.9,10 Seats available,https://www.redbus.in/bus-tickets/bolpur-west-bengal-to-kolkata,Bolpur (West Bengal) to Kolkata
310,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|14:10,Volvo AC Seater (2+2),14:10,17:25,03h 15m,375,4.2,18 Seats available,https://www.redbus.in/bus-tickets/bolpur-west-bengal-to-kolkata,Bolpur (West Bengal) to Kolkata
311,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),13:45,18:15,04h 30m,299,4.6,18 Seats available,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
312,Express Line,Volvo A/C Seater (2+2),10:25,15:20,04h 55m,399,4.5,5 Seats available,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
313,Mayuri Express,AC Seater (2+2),10:30,15:30,05h 00m,314,4.3,34 Seats available,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
314,AdRoyal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),13:00,17:30,04h 30m,369,4.1,46 Seats available,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
315,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),13:30,18:00,04h 30m,400,4.2,26 Seats available,https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata
316,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),6:00,9:00,03h 00m,486,3.7,23 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
317,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),6:00,9:15,03h 15m,486,4.7,14 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
318,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),6:15,9:30,03h 15m,486,4.5,19 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
319,Express Line (Karunamoyee),Volvo A/C Seater (2+2),6:30,10:15,03h 45m,486,4.5,15 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
320,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),6:30,9:45,03h 15m,486,4.2,28 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal)
321,Beauty Travels,NON A/C Seater / Sleeper (2+2),0:30,4:45,04h 15m,380,3,25 Seats available,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata
322,Royal Cruiser,Volvo A/C Seater (2+2),1:00,6:00,05h 00m,509,4,2 Seats available,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata
323,Pammi Travels,Non A/C Seater / Sleeper (2+1),1:30,6:00,04h 30m,618,3.7,29 Seats available,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata
324,Express Line (Karunamoyee),Volvo 9600 Multi Axle Semi-Sleeper (2+2),5:15,9:20,04h 05m,524,4.1,24 Seats available,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata
325,Greenline,Volvo A/C Seater (2+2),5:30,9:45,04h 15m,524,4.3,18 Seats available,https://www.redbus.in/bus-tickets/asansol-to-kolkata,Asansol (West Bengal) to Kolkata
326,Aradhana Bus Service,A/C Seater / Sleeper (2+2),2:30,6:00,03h 30m,475,2.4,3 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi,Barasat (West Bengal) to Contai (Kanthi)
327,SBSTC-SILIGURI - KOLKATA - VIA - MALDA - EXPRESS - 19:30 - 3806,Express (Non AC Seater 2+2),19:30,8:30,13h 00m,500,4.2,,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
328,EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,7:25,12h 40m,1500,4.7,,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
329,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),18:30,7:20,12h 50m,1200,4.5,,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
330,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,7:45,12h 30m,1500,4.6,,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
331,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,6:05,12h 05m,1600,4.5,,https://www.redbus.in/bus-tickets/siliguri-to-kolkata,Siliguri to Kolkata
332,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|06:45,Volvo AC Seater (2+2),6:45,10:00,03h 15m,375,4.2,31 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal,Kolkata to Bolpur (West Bengal)
333,WBTC (CTC) KOLKATA -BOLPUR - SURI (AC-VOLVO) - 104|14:30,Volvo AC Seater (2+2),14:30,17:45,03h 15m,375,4.2,29 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal,Kolkata to Bolpur (West Bengal)
334,Santosh Bus Service,A/C Seater Push Back (2+3),11:25,17:15,05h 50m,352,3.8,1 Seat available,https://www.redbus.in/bus-tickets/digha-to-habra,Digha to Habra
335,Snemita Parisheba(Santosh),AC Seater (2+3),11:30,17:10,05h 40m,352,3.8,4 Seats available,https://www.redbus.in/bus-tickets/digha-to-habra,Digha to Habra
336,Snemita Paribahan,AC Seater (2+3),11:35,17:55,06h 20m,370,3.2,2 Seats available,https://www.redbus.in/bus-tickets/digha-to-habra,Digha to Habra
337,City Express,AC Seater (2+3),11:35,17:45,06h 10m,370,3.4,8 Seats available,https://www.redbus.in/bus-tickets/digha-to-habra,Digha to Habra
338,WBTC (CTC) Habra-Midnapur - 194|15:40,Non AC Seater (2+3),15:40,18:55,03h 15m,120,4.1,31 Seats available,https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal,Midnapore to Barasat (West Bengal)
339,WBTC (CTC) Habra-Midnapur - 194|17:00,Non AC Seater (2+3),17:00,20:10,03h 10m,120,4,47 Seats available,https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal,Midnapore to Barasat (West Bengal)
340,WBTC (CTC) Habra- Barasat- Haldia - 180|16:45,Non AC Seater (2+3),16:45,20:00,03h 15m,113,3.6,46 Seats available,https://www.redbus.in/bus-tickets/haldia-to-barasat-west-bengal,Haldia to Barasat (West Bengal)
341,WBTC (CTC) Habra- Barasat- Haldia - 180|07:10,Non AC Seater (2+3),7:10,10:45,03h 35m,113,4.3,19 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-haldia,Barasat (West Bengal) to Haldia
342,WBTC (CTC) KOLKATA - ASANSOL - PURULIA (AC VOLVO) Banglashree Express - 133|17:00,Volvo AC Seater (2+2),17:00,19:55,02h 55m,240,2.8,23 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-purulia,Durgapur (West Bengal) to Purulia
343,SBSTC-KOLKATA - SILIGURI - VIA - MALDA - 20:00 (BEL DEPO - 3805,Express (Non AC Seater 2+2),20:00,9:00,13h 00m,500,4.3,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
344,EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,7:25,12h 40m,1500,4.7,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
345,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),18:30,7:45,13h 15m,1200,4.6,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
346,AdShyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,6:50,12h 50m,1500,4.5,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
347,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,7:30,12h 45m,1500,4.6,,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Kolkata to Siliguri
348,WBTC (CTC) Habra - Barasat - Durgapur - Asansol - 100|14:25,Non AC Seater (2+3),14:25,17:25,03h 00m,147,4.4,41 Seats available,https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal,Durgapur (West Bengal) to Barasat (West Bengal)
349,WBTC (CTC) Habra- Barasat- Haldia - 180|16:45,Non AC Seater (2+3),16:45,19:30,02h 45m,97,3.8,45 Seats available,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
350,Satadal Travels,A/C Seater (2+2),5:55,9:30,03h 35m,157,3.6,23 Seats available,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
351,Droupadi Paribahan,A/C Seater (2+3),6:10,9:00,02h 50m,160,3.4,59 Seats available,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
352,Diamond City Service,A/C Executive (2+3),6:30,10:15,03h 45m,149,4.3,32 Seats available,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
353,Gogol City Service,AC Seater (2+3),7:00,9:45,02h 45m,143,4.4,23 Seats available,https://www.redbus.in/bus-tickets/haldia-to-kolkata,Haldia to Kolkata
354,WBTC (CTC) KOLKATA - ASANSOL - PURULIA (AC VOLVO) Banglashree Express - 133|13:45,Volvo AC Seater (2+2),13:45,19:55,06h 10m,595,3,21 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-purulia,Kolkata to Purulia
355,City Queen Bus Service,Non AC Seater (2+2),20:50,5:00,08h 10m,250,3.5,,https://www.redbus.in/bus-tickets/kolkata-to-purulia,Kolkata to Purulia
356,City Queen Bus Service,Non AC Seater (2+2),21:30,7:30,10h 00m,285,2,,https://www.redbus.in/bus-tickets/kolkata-to-purulia,Kolkata to Purulia
357,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),6:00,10:00,04h 00m,524,4.2,23 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
358,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),6:00,10:15,04h 15m,524,4.2,13 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
359,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),6:15,10:30,04h 15m,524,4.3,19 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
360,Express Line (Karunamoyee),Volvo A/C Seater (2+2),6:30,11:00,04h 30m,524,4.5,15 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
361,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),6:30,10:45,04h 15m,524,4,28 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-asansol,Kolkata to Asansol (West Bengal)
362,SBSTC-BONGAON - ASANSOL - VIA - BARASAT - 05:00 (ASN DEP - 1515,Non AC Seater (2+3),7:00,0:00,17h 00m,185,2.7,,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol,Barasat (West Bengal) to Asansol (West Bengal)
363,WBTC (CTC) Kolkata - Namkhana ferry ghat - Bakkhali (AC VOLVO) - 127|06:30,Volvo AC Seater (2+2),6:30,9:45,03h 15m,255,4.4,1 Seat available,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali,Kolkata to Bakkhali
364,WBTC (CTC) HABRA - BAKKHALI - 153|07:50,Non AC Seater (2+3),7:50,11:55,04h 05m,102,3.9,40 Seats available,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali,Kolkata to Bakkhali
365,WBTC (CTC) Habra- Barasat- Haldia - 180|07:10,Non AC Seater (2+3),7:10,8:45,01h 35m,82,4.3,24 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nimtouri,Barasat (West Bengal) to Nimtouri
366,WBTC (CTC) Habra - Barasat - Durgapur - Asansol - 100|05:05,Non AC Seater (2+3),5:05,9:00,03h 55m,165,4.5,13 Seats available,https://www.redbus.in/bus-tickets/habra-to-durgapur,Habra to Durgapur (West Bengal)
367,WBTC (CTC) Habra-Midnapur - 194|06:25,Non AC Seater (2+3),6:25,8:20,01h 55m,73,3.2,40 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-mechogram,Barasat (West Bengal) to Mechogram
368,WBTC (CTC) Habra-Midnapur - 194|07:00,Non AC Seater (2+3),7:00,9:00,02h 00m,73,3.2,28 Seats available,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-mechogram,Barasat (West Bengal) to Mechogram
369,WBTC (CTC) Habra- Barasat- Haldia - 180|06:10,Non AC Seater (2+3),6:10,10:45,04h 35m,132,3.2,19 Seats available,https://www.redbus.in/bus-tickets/habra-to-haldia,Habra to Haldia
370,SBSTC-HABRA - MIDNAPUR - 06:20 (MID DEPOT) - 1398,Non AC Seater (2+3),6:20,0:00,17h 40m,143,4.6,,https://www.redbus.in/bus-tickets/habra-to-midnapore,Habra to Midnapore
371,FlixBus,A/C Seater (2+2),0:10,4:40,04h 30m,669,3.7,10 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
372,Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),0:30,4:45,04h 15m,475,4.4,7 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
373,FlixBus,A/C Seater (2+2),0:30,5:20,04h 50m,524,3.7,24 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
374,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),2:20,6:50,04h 30m,500,3.7,24 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
375,Holiday Appeal Private Limited,Volvo A/C Semi Sleeper (2+2),0:40,6:30,05h 50m,500,4.1,28 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-delhi,Chandigarh to Delhi
376,FlixBus,A/C Seater (2+2),0:10,4:55,04h 45m,756,3.7,10 Seats available,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
377,NueGo,Electric A/C Seater (2+2),0:30,6:05,05h 35m,380,4,20 Seats available,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
378,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),4:00,9:20,05h 20m,648,3,17 Seats available,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
379,AdCity Land Travels,Volvo A/C Semi Sleeper (2+2),22:40,3:00,04h 20m,529,3.6,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
380,NueGo,Electric A/C Seater (2+2),6:00,11:15,05h 15m,477,4.1,21 Seats available,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
381,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),20:40,23:30,02h 50m,750,3.8,21 Seats available,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
382,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),0:30,1:50,01h 20m,999,3.8,22 Seats available,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
383,City Land Travels,A/C Seater/Sleeper (2+1),22:20,0:20,02h 00m,630,3.6,,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
384,Vijay Tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),20:00,22:30,02h 30m,599,3.5,38 Seats available,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
385,Zimindara Travels,AC Sleeper (2+1),21:00,22:30,01h 30m,749,4.1,36 Seats available,https://www.redbus.in/bus-tickets/yamuna-nagar-to-chandigarh,Yamuna Nagar to Chandigarh
386,RSRTC - 192344,Super Luxury Volvo AC Seater Pushback 2+2,10:30,14:00,03h 30m,432,3.9,33 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,Chandigarh to Shimla
387,Zingbus Plus,Volvo A/C Semi Sleeper (2+2),4:15,7:25,03h 10m,271,4.3,3 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,Chandigarh to Shimla
388,FlixBus,A/C Seater (2+2),4:35,8:35,04h 00m,268,3.5,10 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,Chandigarh to Shimla
389,FlixBus,A/C Seater (2+2),11:30,16:00,04h 30m,238,3.8,29 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,Chandigarh to Shimla
390,NueGo,Electric A/C Seater (2+2),2:55,6:25,03h 30m,330,1.2,5 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-shimla,Chandigarh to Shimla
391,Chandigarh Transport Undertaking (CTU) - 165938,HVAC Seater (2+3),20:00,5:45,09h 45m,624.77,4.2,,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Chandigarh to Vrindavan
392,GK Travels,A/C Seater/Sleeper (2+1),16:00,0:00,32h 00m,1299,1.5,,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Chandigarh to Vrindavan
393,NAYAR TRAVELS (OPC) PVT LTD,A/C Sleeper (2+1),16:30,23:00,06h 30m,1699,2,27 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-vrindavan,Chandigarh to Vrindavan
394,Zimindara Travels,AC Sleeper (2+1),23:00,2:15,03h 15m,749,4.1,,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Chandigarh to Yamuna Nagar
395,SHRI KRISHNA TRAVELS (JAI SHREE GANESH YATRA CO.),VE A/C Seater / Sleeper (2+1),3:55,6:55,03h 00m,680,3.8,6 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Chandigarh to Yamuna Nagar
396,City Land Travels,Volvo A/C Semi Sleeper (2+2),23:55,2:00,02h 05m,746,3.6,,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Chandigarh to Yamuna Nagar
397,City Land Travels,A/C Seater/Sleeper (2+1),4:15,6:30,02h 15m,810,3.6,3 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Chandigarh to Yamuna Nagar
398,Shree Mahaveer Travels Jaipur,VE A/C Seater / Sleeper (2+1),22:00,0:35,02h 35m,499,3.5,,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Chandigarh to Yamuna Nagar
399,Chandigarh Transport Undertaking (CTU) - 165836,HVAC Seater (2+3),6:24,12:54,06h 30m,452.39,4.4,31 Seats available,https://www.redbus.in/bus-tickets/chandigarh-to-sujanpur,Chandigarh to Sujanpur (himachal pradesh)
